id,first_name,last_name,specialization,email,gender,phone,work shift,years_experience 
#fc4,Birgitta,Kubis,Emergency,bkubis0@wsj.com,Genderfluid,778-808-8895,Evening,5
#68d,Sorcha,Upsale,Oncology,supsale1@salon.com,Female,813-712-9802,Day,22
#24e,Arel,Wharrier,Surgical,awharrier2@elpais.com,Male,436-736-7112,Evening,1
#20c,Chip,Hendrickson,Surgical,chendrickson3@princeton.edu,Male,187-579-7181,Evening,17
#749,Feliks,Taillard,ICU,ftaillard4@ifeng.com,Male,525-217-9656,Day,25
#28d,Jerry,Bembridge,Oncology,jbembridge5@angelfire.com,Male,267-645-5526,Day,28
#95b,Eugen,Bossingham,General,ebossingham6@geocities.com,Male,116-964-1636,Day,24
#e74,Horace,Stegell,Pediatric,hstegell7@networksolutions.com,Male,135-208-5998,Day,26
#5dd,Goldi,Staley,Oncology,gstaley8@cam.ac.uk,Female,947-951-9286,Night,24
#d4b,Candi,Baudouin,Pediatric,cbaudouin9@photobucket.com,Female,536-769-1195,Day,27
#561,Laurie,Geroldini,Oncology,lgeroldinia@shinystat.com,Female,200-893-7623,Night,22
#d4b,Wain,Fautly,General,wfautlyb@vimeo.com,Male,769-271-9020,Day,18
#c91,Issi,Loughren,ICU,iloughrenc@youtu.be,Female,243-982-2341,Night,6
#183,Honey,McGillivrie,Surgical,hmcgillivried@de.vu,Female,741-314-0169,Night,25
#059,Hubie,Loade,ICU,hloadee@prweb.com,Male,183-658-4863,Day,2
#aa0,Sydney,Doram,General,sdoramf@census.gov,Genderqueer,755-287-4230,Day,20
#267,Hyatt,Sandercroft,Emergency,hsandercroftg@delicious.com,Male,795-371-6551,Day,4
#78c,Hermione,Infante,Pediatric,hinfanteh@tinypic.com,Female,307-496-9912,Day,6
#37d,Mala,Hagan,ICU,mhagani@list-manage.com,Female,627-370-8121,Day,9
#32b,Elinore,Bonnesen,Surgical,ebonnesenj@surveymonkey.com,Non-binary,470-946-6666,Night,8
#ed4,Joly,Hedgeley,Oncology,jhedgeleyk@squarespace.com,Female,800-557-5146,Evening,14
#4da,Chicky,Penning,Surgical,cpenningl@instagram.com,Female,452-437-5578,Night,1
#81e,Reena,Betke,General,rbetkem@vinaora.com,Female,457-874-6963,Evening,2
#8f7,Nady,Broomer,Oncology,nbroomern@yahoo.co.jp,Female,409-612-3202,Night,1
#987,Urbano,Pardi,General,upardio@sohu.com,Male,982-569-4592,Evening,2
#d3d,Basilio,Fardoe,Pediatric,bfardoep@tumblr.com,Male,263-879-6073,Night,3
#203,Vaclav,Olyet,Oncology,volyetq@surveymonkey.com,Male,232-888-6470,Night,18
#39a,Markos,Scottesmoor,Oncology,mscottesmoorr@kickstarter.com,Male,428-365-0459,Night,29
#3da,Bobby,Reeveley,Emergency,breeveleys@narod.ru,Male,487-431-5443,Day,9
#3c2,Zorana,Botterill,Pediatric,zbotterillt@webeden.co.uk,Female,881-205-1701,Evening,22
#492,Ethan,Annatt,General,eannattu@ocn.ne.jp,Male,379-557-6150,Night,20
#dfd,Virginie,Kingston,ICU,vkingstonv@angelfire.com,Female,507-645-8490,Night,30
#cfc,Page,Mudd,Surgical,pmuddw@pagesperso-orange.fr,Male,972-340-8162,Night,27
#495,Marianna,Hoyes,Emergency,mhoyesx@berkeley.edu,Female,922-466-9071,Night,10
#20f,Seamus,Addie,Pediatric,saddiey@telegraph.co.uk,Male,483-654-5184,Evening,29
#b5a,Danyelle,Sidaway,Emergency,dsidawayz@ucoz.com,Female,854-378-7036,Day,6
#21a,Fletch,Merrilees,ICU,fmerrilees10@wp.com,Male,812-754-6053,Evening,11
#38f,Aundrea,Roizn,General,aroizn11@webmd.com,Female,873-361-2992,Day,30
#10d,Vickie,Monck,Surgical,vmonck12@dell.com,Female,571-611-3678,Night,3
#84e,Eleen,MacCosty,Pediatric,emaccosty13@mashable.com,Female,527-175-1239,Day,4
#541,Andie,Gilham,Emergency,agilham14@issuu.com,Female,938-969-5594,Day,11
#d7d,Lane,Rouby,Pediatric,lrouby15@rambler.ru,Female,661-226-0281,Evening,6
#707,Joly,Gillbee,ICU,jgillbee16@columbia.edu,Bigender,601-185-6268,Evening,28
#290,Ephrayim,Barkshire,General,ebarkshire17@furl.net,Male,452-805-4726,Night,6
#e84,Gustavus,Sisnett,ICU,gsisnett18@surveymonkey.com,Male,593-159-6365,Night,6
#69c,Gottfried,Metcalf,Emergency,gmetcalf19@businesswire.com,Male,596-783-5755,Evening,27
#d83,Bryna,Gianolo,ICU,bgianolo1a@imgur.com,Female,781-674-5494,Night,5
#5ee,Katerine,Bartalin,Surgical,kbartalin1b@hostgator.com,Female,394-920-3429,Night,2
#4da,Amerigo,Delamar,Surgical,adelamar1c@technorati.com,Male,500-340-1406,Day,7
#17d,Nappie,Louiset,Pediatric,nlouiset1d@craigslist.org,Male,568-718-4730,Evening,7
#21a,Sanders,Downe,Oncology,sdowne1e@bloomberg.com,Male,489-817-3441,Evening,7
#433,Tine,Somes,ICU,tsomes1f@istockphoto.com,Female,710-168-2850,Day,19
#93d,Lurette,Ivers,Oncology,livers1g@disqus.com,Female,487-831-8477,Day,30
#295,Maurits,Wren,General,mwren1h@istockphoto.com,Male,454-507-0863,Night,12
#c68,Cyndy,Bentham,Surgical,cbentham1i@ow.ly,Female,991-622-8112,Night,26
#1f8,Pat,Priestnall,Emergency,ppriestnall1j@thetimes.co.uk,Male,618-780-1577,Day,19
#8c6,Trula,Essam,Pediatric,tessam1k@columbia.edu,Female,212-332-1524,Evening,27
#35d,Estell,Guerola,General,eguerola1l@yahoo.com,Female,784-318-4303,Day,16
#10d,Shel,Grahlmans,Oncology,sgrahlmans1m@sphinn.com,Female,384-294-9778,Day,16
#ded,Erin,Gluyus,ICU,egluyus1n@surveymonkey.com,Female,314-614-8237,Day,3
#687,Hadlee,Fitzharris,Pediatric,hfitzharris1o@macromedia.com,Male,626-292-0612,Day,18
#1ac,Shauna,Fosdick,ICU,sfosdick1p@jigsy.com,Female,222-193-5055,Night,7
#7c5,Delmar,Catonne,Pediatric,dcatonne1q@joomla.org,Male,272-990-0291,Day,12
#1de,Vivienne,MacDiarmid,ICU,vmacdiarmid1r@ebay.co.uk,Female,686-223-6890,Night,20
#db1,Waverley,Hritzko,General,whritzko1s@hhs.gov,Male,479-235-9647,Evening,6
#dee,Gerick,Purtell,General,gpurtell1t@uiuc.edu,Male,526-889-7491,Night,5
#13c,Che,Aylmer,Surgical,caylmer1u@cmu.edu,Bigender,260-599-7680,Day,28
#7e7,Tarah,Keighley,Surgical,tkeighley1v@fda.gov,Female,566-860-7028,Day,30
#e11,Isa,Witz,Surgical,iwitz1w@purevolume.com,Male,913-560-7910,Day,21
#ced,Brook,Stockin,Surgical,bstockin1x@smugmug.com,Male,765-925-3864,Night,24
#82d,Eveleen,Le Estut,ICU,eleestut1y@canalblog.com,Female,909-637-5490,Day,14
#636,Connie,Helder,Oncology,chelder1z@nyu.edu,Male,416-968-6879,Evening,18
#2e4,Onfre,Blenkensop,ICU,oblenkensop20@facebook.com,Male,980-731-5656,Day,2
#e01,Kassandra,Dwane,ICU,kdwane21@github.com,Female,614-232-2698,Evening,25
#3c9,Scotty,Ephson,ICU,sephson22@squarespace.com,Male,780-197-3913,Evening,19
#764,Lanie,Menlow,Oncology,lmenlow23@youtube.com,Female,578-509-6275,Evening,6
#089,Bennie,Dowdle,Oncology,bdowdle24@tripadvisor.com,Male,224-569-3520,Night,8
#d18,Patrizius,Kunath,Surgical,pkunath25@usa.gov,Male,100-590-5377,Evening,24
#5c1,Aluino,Manhood,General,amanhood26@hibu.com,Male,812-133-7695,Evening,16
#14b,Leodora,O'Mullaney,Pediatric,lomullaney27@umich.edu,Female,725-662-0899,Night,30
#9af,Francesco,Gurery,Pediatric,fgurery28@tamu.edu,Male,774-134-8729,Evening,30
#a9f,Trenton,Chance,ICU,tchance29@uiuc.edu,Male,538-987-1884,Evening,12
#7f5,Chaunce,Rootes,General,crootes2a@amazon.de,Male,603-781-8190,Night,29
#6a0,Jobi,D'Elias,Oncology,jdelias2b@spiegel.de,Female,311-861-7620,Evening,22
#95d,Alverta,Agglio,Surgical,aagglio2c@patch.com,Female,540-398-1635,Night,25
#2fd,Mabelle,Stanway,ICU,mstanway2d@networkadvertising.org,Female,662-876-1429,Day,6
#743,Mariska,Diego,ICU,mdiego2e@mediafire.com,Female,769-176-4356,Day,21
#fd5,Jasmine,Joye,ICU,jjoye2f@shutterfly.com,Female,749-691-0885,Day,11
#ff6,Damien,Edmonston,Pediatric,dedmonston2g@nih.gov,Male,198-544-8445,Night,16
#216,Haily,Caroline,Pediatric,hcaroline2h@dell.com,Male,431-352-5166,Night,16
#227,Say,De Lacey,Surgical,sdelacey2i@wiley.com,Male,683-546-1784,Day,18
#05f,Bogart,Trunkfield,General,btrunkfield2j@imgur.com,Male,934-511-8536,Evening,29
#779,Marylinda,Terry,Oncology,mterry2k@clickbank.net,Female,375-438-4497,Evening,3
#daa,Gael,Hillam,Oncology,ghillam2l@theglobeandmail.com,Female,942-374-7484,Night,18
#1f3,Shari,McHaffy,General,smchaffy2m@princeton.edu,Female,590-651-9042,Day,28
#52b,Josephina,Sussems,ICU,jsussems2n@reuters.com,Female,313-960-0158,Night,13
#552,Brandais,Waith,Surgical,bwaith2o@harvard.edu,Non-binary,684-671-9959,Day,15
#b72,Jordanna,Quest,Surgical,jquest2p@addthis.com,Female,560-797-5783,Evening,13
#e54,Ulrike,Lobell,Emergency,ulobell2q@cnbc.com,Agender,859-294-3332,Evening,28
#3bc,Hastie,Loftin,Oncology,hloftin2r@icq.com,Male,294-356-1064,Night,27
#ae2,Holly,Wyman,Emergency,hwyman2s@domainmarket.com,Female,668-459-2385,Night,14
#125,Alair,Durran,Oncology,adurran2t@epa.gov,Male,768-586-4666,Night,11
#cf2,Simonette,Pinwell,General,spinwell2u@walmart.com,Female,216-262-9634,Evening,25
#00e,Gunilla,Beteriss,Oncology,gbeteriss2v@hibu.com,Bigender,694-954-5487,Evening,9
#cf4,Esmeralda,Pantin,Surgical,epantin2w@simplemachines.org,Genderfluid,729-289-4016,Evening,5
#a61,Johnna,Mulrooney,ICU,jmulrooney2x@odnoklassniki.ru,Female,789-378-5461,Night,3
#01a,Wandis,Domone,ICU,wdomone2y@flickr.com,Female,358-695-8471,Night,30
#e9c,Daven,Shuttlewood,Surgical,dshuttlewood2z@vk.com,Male,432-770-8064,Evening,22
#c64,Vince,Clemson,Emergency,vclemson30@clickbank.net,Genderfluid,337-251-8351,Evening,21
#f77,Ernesto,Challenor,Emergency,echallenor31@miibeian.gov.cn,Male,619-842-2681,Night,14
#a01,Stormi,Vause,ICU,svause32@nih.gov,Female,230-744-1394,Day,27
#61e,Muire,Vallance,Pediatric,mvallance33@wsj.com,Female,206-630-5636,Night,24
#2d3,Ros,Caghan,General,rcaghan34@youtu.be,Genderqueer,474-663-9705,Evening,17
#498,Barri,Tooting,Surgical,btooting35@msu.edu,Male,231-429-9088,Night,10
#00c,Barbey,McGroarty,Emergency,bmcgroarty36@usda.gov,Female,859-331-9419,Day,14
#cd9,Arlen,Cherrison,Surgical,acherrison37@istockphoto.com,Female,849-256-7203,Night,30
#25f,Gallard,Thicking,General,gthicking38@un.org,Male,773-466-7335,Evening,19
#132,Kaile,Pach,Pediatric,kpach39@infoseek.co.jp,Female,599-439-7934,Day,28
#2a8,Renelle,Maleby,Oncology,rmaleby3a@aboutads.info,Female,670-732-6122,Evening,26
#5b1,Elfreda,Dash,General,edash3b@reverbnation.com,Female,649-229-0635,Day,7
#1c5,Cassius,Freeborn,Oncology,cfreeborn3c@issuu.com,Male,406-897-5932,Day,19
